,idsentenca,qtdepalavras,qtdetokensbert,qtdepalavrassemstopword,qtdelocverbo,qtdeverbo,qtdeverboaux,qtdesubstantivo,qtdeverboauxsubstantivo,qtdepalavrasdesconhecidas,qtdener
count,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0
mean,21.59,2.69,16.05,30.94,11.01,0.5,0.5,0.54,3.37,3.91,5.47
std,11.43,3.17,15.52,22.02,10.88,0.97,0.98,1.01,4.82,5.53,3.9
min,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,13.0,0.0,6.0,17.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0
50%,22.0,1.0,11.0,26.0,9.0,0.0,0.0,0.0,2.0,2.0,4.0
75%,30.0,4.0,22.0,40.0,15.0,1.0,1.0,1.0,4.0,5.0,8.0
max,41.0,13.0,116.0,150.0,86.0,8.0,8.0,8.0,28.0,36.0,17.0
