,id,qtde_sentencas,qtde_palavras,qtde_tokens_bert,qtde_palavras_sem_stopword,qtde_loc_verbo,qtde_verbo,qtde_verbo_aux,qtde_substantivo,qtde_verbo_aux_substantivo,qtde_palavras_desconhecidas,qtde_ner
count,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0
mean,21.0,3.34,53.63,103.39,36.8,1.66,1.68,1.8,11.27,13.07,18.29,6.27
std,11.98,3.22,33.64,87.2,22.98,2.06,2.05,2.08,10.37,11.74,17.61,5.33
min,1.0,1.0,9.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
25%,11.0,1.0,36.0,50.0,22.0,0.0,0.0,0.0,4.0,5.0,6.0,2.0
50%,21.0,2.0,52.0,70.0,34.0,1.0,1.0,1.0,10.0,11.0,10.0,4.0
75%,31.0,4.0,70.0,146.0,48.0,3.0,3.0,3.0,14.0,16.0,20.0,8.0
max,41.0,14.0,158.0,378.0,104.0,8.0,8.0,8.0,48.0,54.0,72.0,21.0
