index,id,qtdepalavras,qtdetokensbert,qtdepalavrasjanela3,qtdepalavrasjanela5,qtdetokenbertjanela3,qtdetokenbertjanela5
count,137.0,137.0,137.0,137.0,137.0,137.0,137.0
mean,21.59124087591241,16.05109489051095,30.94160583941606,35.262773722627735,46.32116788321168,72.56934306569343,103.4014598540146
std,11.43366722635493,15.521484715161382,22.018964561111744,24.998314670544083,29.122947871801482,36.70646593554096,55.674666835688555
min,1.0,1.0,2.0,2.0,5.0,8.0,12.0
25%,13.0,6.0,17.0,15.0,24.0,46.0,62.0
50%,22.0,11.0,26.0,31.0,45.0,65.0,90.0
75%,30.0,22.0,40.0,47.0,60.0,90.0,144.0
max,41.0,116.0,150.0,131.0,158.0,172.0,238.0
